// According to fewest_remaining_solutions(…) / number of solutions = expected number of remaining solutions after guess
  323.  92.00 'ratio'
  324.  92.04 'rones'
  325.  92.04 'ratos'
  326.  92.08 'tiles'
  327.  92.12 'trans'
  328.  92.14 'eorls'
  329.  92.18 'tarsi'
  330.  92.24 'liras'
  331.  92.32 'toras'
  332.  92.38 'recal'
  333.  92.48 'liner'
  334.  92.65 'prole'
  335.  92.67 'segar'
  336.  92.74 'cries'
  337.  92.75 'shear'
  338.  92.75 'lader'
  339.  92.76 'risen'
  340.  92.77 'tuile'
  341.  92.86 'steal'
  342.  92.87 'roans'
  343.  92.91 'paren'
  344.  92.92 'tiers'
  345.  92.96 'telos'
  346.  93.02 'toran'
  347.  93.02 'tenia'
  348.  93.07 'gares'
  349.  93.17 'tamer'
  350.  93.29 'elain'
  351.  93.30 'petar'
  352.  93.35 'frate'
  353.  93.41 'stade'
  354.  93.42 'aruhe'
  355.  93.44 'socle'
  356.  93.46 'resay'
  357.  93.51 'noser'
  358.  93.51 'spaer'
  359.  93.53 'laces'
  360.  93.54 'brane'
  361.  93.62 'pares'
  362.  93.63 'rines'
  363.  93.65 'saned'
  364.  93.68 'teils'
  365.  93.74 'stela'
  366.  93.81 'dears'
  367.  93.84 'rents'
  368.  93.85 'drole'
  369.  93.86 'sorta'
  370.  93.88 'aider'
  371.  94.00 'artis'
  372.  94.00 'snarl'
  373.  94.02 'sieur'
  374.  94.03 'crone'
  375.  94.11 'silen'
  376.  94.13 'tarns'
  377.  94.14 'saber'
  378.  94.18 'mater'
  379.  94.19 'lated'
  380.  94.21 'dates'
  381.  94.24 'stone'
  382.  94.26 'erica'
  383.  94.29 'niter'
  384.  94.31 'alder'
  385.  94.33 'outre'
  386.  94.34 'airts'
  387.  94.40 'blare'
  388.  94.42 'lutea'
  389.  94.47 'thane'
  390.  94.51 'wrate'
  391.  94.63 'slyer'
  392.  94.65 'canes'
  393.  94.80 'togae'
  394.  94.81 'ocrea'
  395.  94.81 'nerts'
  396.  94.83 'lites'
  397.  94.84 'crena'
  398.  94.85 'farse'
  399.  94.86 'seric'
  400.  94.90 'moire'
  401.  94.91 'urena'
  402.  94.93 'rotas'
  403.  94.99 'lirot'
  404.  95.00 'losen'
  405.  95.00 'rains'
  406.  95.01 'close'
  407.  95.03 'elans'
  408.  95.07 'farle'
  409.  95.10 'yeast'
  410.  95.21 'plane'
  411.  95.27 'tread'
  412.  95.30 'sauce'
  413.  95.32 'tsade'
  414.  95.35 'cires'
  415.  95.38 'hears'
  416.  95.41 'reins'
  417.  95.44 'hanse'
  418.  95.54 'renos'
  419.  95.55 'larns'
  420.  95.70 'cosie'
  421.  95.72 'rages'
  422.  95.73 'loran'
  423.  95.74 'resin'
  424.  95.76 'locie'
  425.  95.79 'reads'
  426.  95.83 'aloed'
  427.  95.90 'apter'
  428.  95.92 'crine'
  429.  95.97 'yates'
  430.  95.98 'urine'
  431.  96.03 'dearn'
  432.  96.03 'ancle'
  433.  96.07 'citer'
  434.  96.12 'stean'
  435.  96.12 'trona'
  436.  96.13 'cause'
  437.  96.13 'slice'
  438.  96.20 'mares'
  439.  96.30 'rapes'
  440.  96.32 'aimer'
  441.  96.35 'tones'
  442.  96.38 'maser'
  443.  96.39 'ulnae'
  444.  96.40 'cadre'
  445.  96.42 'hales'
  446.  96.51 'shire'
  447.  96.57 'astir'
  448.  96.57 'great'
  449.  96.59 'early'
  450.  96.67 'leapt'
  451.  96.67 'naris'
  452.  96.72 'lased'
  453.  96.73 'waite'
  454.  96.77 'cleat'
  455.  96.79 'clart'
  456.  96.81 'istle'
  457.  96.81 'rants'
  458.  96.82 'lager'
  459.  96.82 'islet'
  460.  96.95 'arson'
  461.  97.01 'luter'
  462.  97.01 'relay'
  463.  97.05 'dales'
  464.  97.29 'arpen'
  465.  97.29 'earth'
  466.  97.30 'taber'
  467.  97.32 'roist'
  468.  97.33 'trope'
  469.  97.38 'ranis'
  470.  97.38 'daine'
  471.  97.45 'apert'
  472.  97.46 'rotan'
  473.  97.46 'abore'
  474.  97.48 'realm'
  475.  97.53 'vaire'
  476.  97.55 'perai'
  477.  97.58 'dorse'
  478.  97.60 'trues'
  479.  97.62 'noles'
  480.  97.66 'yales'
  481.  97.70 'inter'
  482.  97.76 'thole'
  483.  97.84 'tripe'
  484.  97.85 'braes'
  485.  97.93 'shore'
  486.  97.94 'inert'
  487.  97.97 'tride'
  488.  98.02 'stern'
  489.  98.05 'olent'
  490.  98.06 'diane'
  491.  98.12 'salto'
  492.  98.12 'lamer'
  493.  98.12 'saree'
  494.  98.17 'flare'
  495.  98.20 'toyer'
  496.  98.22 'sired'
  497.  98.23 'urial'
  498.  98.23 'starn'
  499.  98.27 'eards'
  500.  98.27 'cadet'
  501.  98.29 'tapen'
  502.  98.35 'cores'
  503.  98.40 'acers'
  504.  98.48 'trode'
  505.  98.48 'maerl'
  506.  98.57 'crest'
  507.  98.60 'tails'
  508.  98.63 'lento'
  509.  98.65 'denar'
  510.  98.65 'table'
  511.  98.67 'coset'
  512.  98.71 'tyler'
  513.  98.72 'salep'
  514.  98.73 'roues'
  515.  98.75 'baser'
  516.  98.79 'renay'
  517.  98.80 'recit'
  518.  98.81 'lades'
  519.  98.89 'slant'
  520.  98.91 'carol'
  521.  98.95 'seton'
  522.  98.97 'pilae'
  523.  98.99 'enrol'
  524.  99.00 'escar'
  525.  99.05 'bares'
  526.  99.06 'samel'
  527.  99.09 'pears'
  528.  99.09 'crape'
  529.  99.09 'inlet'
  530.  99.11 'safer'
  531.  99.13 'blaer'
  532.  99.15 'manet'
  533.  99.19 'lures'
  534.  99.19 'urali'
  535.  99.21 'afire'
  536.  99.22 'louse'
  537.  99.25 'afore'
  538.  99.26 'paten'
  539.  99.29 'teads'
  540.  99.32 'spale'
  541.  99.34 'airns'
  542.  99.34 'lande'
  543.  99.38 'soyle'
  544.  99.38 'aunes'
  545.  99.43 'gears'
  546.  99.49 'blate'
  547.  99.49 'coste'
  548.  99.49 'horse'
  549.  99.49 'lapse'
  550.  99.54 'shier'
  551.  99.62 'throe'
  552.  99.75 'roils'
  553.  99.79 'taker'
  554.  99.83 'cared'
  555.  99.85 'loirs'
  556.  99.85 'royne'
  557.  99.86 'aides'
  558.  99.92 'sture'
  559.  99.92 'apres'
  560.  99.93 'utile'
  561.  99.98 'tawie'
  562. 100.11 'range'
  563. 100.11 'talon'
  564. 100.13 'panel'
  565. 100.21 'luser'
  566. 100.22 'uraos'
  567. 100.23 'sored'
  568. 100.25 'styre'
  569. 100.28 'rices'
  570. 100.41 'paste'
  571. 100.52 'leash'
  572. 100.54 'stria'
  573. 100.65 'satem'
  574. 100.67 'tonal'
  575. 100.69 'paseo'
  576. 100.72 'grace'
  577. 100.74 'haste'
  578. 100.76 'aside'
  579. 100.78 'clone'
  580. 100.81 'nurse'
  581. 100.82 'alist'
  582. 100.85 'spate'
  583. 100.86 'cesta'
  584. 100.92 'outer'
  585. 100.92 'rules'
  586. 100.99 'reaps'
  587. 101.01 'taroc'
  588. 101.03 'spear'
  589. 101.04 'rhone'
  590. 101.04 'psoae'
  591. 101.06 'prise'
  592. 101.10 'notes'
  593. 101.14 'smear'
  594. 101.16 'tuner'
  595. 101.25 'sable'
  596. 101.25 'solde'
  597. 101.33 'amole'
  598. 101.35 'feart'
  599. 101.37 'loris'
  600. 101.48 'hoise'
  601. 101.49 'touse'
  602. 101.51 'aglet'
  603. 101.51 'coles'
  604. 101.51 'repla'
  605. 101.53 'ramen'
  606. 101.57 'ceros'
  607. 101.64 'salon'
  608. 101.65 'aerie'
  609. 101.66 'prone'
  610. 101.67 'steil'
  611. 101.68 'manse'
  612. 101.74 'oread'
  613. 101.83 'conte'
  614. 101.84 'laree'
  615. 101.88 'prose'
  616. 101.88 'baler'
  617. 101.89 'gates'
  618. 101.92 'mitre'
  619. 101.97 'retag'
  620. 101.99 'ailed'
  621. 102.04 'tried'
  622. 102.06 'sider'
  623. 102.06 'lines'
  624. 102.07 'lenos'
  625. 102.07 'certs'
  626. 102.08 'truce'
  627. 102.13 'sarod'
  628. 102.16 'tolas'
  629. 102.16 'riley'
  630. 102.19 'curie'
  631. 102.25 'urent'
  632. 102.26 'saker'
  633. 102.27 'spane'
  634. 102.36 'triac'
  635. 102.46 'heals'
  636. 102.49 'acnes'
  637. 102.49 'deals'
  638. 102.49 'acute'
  639. 102.49 'trave'
  640. 102.52 'lepra'
  641. 102.52 'reate'
  642. 102.56 'stage'
  643. 102.60 'selah'
  644. 102.64 'rheas'
  645. 102.65 'shoer'
  646. 102.66 'loipe'
  647. 102.67 'sawer'
  648. 102.70 'tapes'
  649. 102.73 'coure'
  650. 102.73 'trois'
  651. 102.76 'crame'
  652. 102.81 'sonce'
  653. 102.82 'recto'
  654. 102.82 'rache'
  655. 102.85 'reams'
  656. 102.85 'inure'
  657. 102.86 'cruet'
  658. 102.86 'namer'
  659. 102.87 'yrent'
  660. 102.89 'tolan'
  661. 102.89 'loans'
  662. 102.91 'taupe'
  663. 102.95 'clies'
  664. 102.97 'chare'
  665. 103.00 'terga'
  666. 103.01 'meant'
  667. 103.07 'intel'
  668. 103.07 'rosit'
  669. 103.10 'sware'
  670. 103.11 'pareu'
  671. 103.12 'satyr'
  672. 103.13 'hayer'
  673. 103.14 'trios'
  674. 103.24 'eyras'
  675. 103.27 'hates'
  676. 103.31 'arnut'
  677. 103.33 'asper'
  678. 103.34 'crias'
  679. 103.36 'soled'
  680. 103.46 'pales'
  681. 103.51 'pates'
  682. 103.58 'kiore'
  683. 103.59 'fares'
  684. 103.60 'brise'
  685. 103.64 'cruel'
  686. 103.67 'claro'
  687. 103.72 'dries'
  688. 103.74 'spire'
  689. 103.79 'tired'
  690. 103.79 'tames'
  691. 103.80 'moile'
  692. 103.82 'redia'
  693. 103.83 'relic'
  694. 103.87 'spore'
  695. 103.87 'zaire'
  696. 103.88 'tawer'
  697. 103.89 'haute'
  698. 103.90 'hoaed'
  699. 103.91 'seare'
  700. 103.94 'trema'
  701. 103.95 'plier'
  702. 103.96 'neist'
  703. 103.98 'ranke'
